cvegeo,material_mean,monetario_mean,material_sd,monetario_sd
08023,-2.117012680614719,-0.2526388893309357,0.4284966330279281,1.1402508142834955
08024,-1.6585948516986309,1.103129385071714,0.44295550768240477,1.0636072159428285
08025,-0.06429785867059484,0.5879364686102252,0.41208037100984163,0.2436066936816246
08026,-0.6398750090713802,0.7939803855234954,0.44396396595228244,0.672191542881339
08027,0.906495234543339,0.48428404161949584,0.5482385712420309,1.097261410784565
08028,-0.8309428697374833,0.4765995830250591,0.4142506950547568,0.8802299027220424
08029,0.1760336265061401,-0.30173951152239137,0.5239659572644355,0.8613464909986261
08030,1.1070173971296267,0.8697244927336703,0.5334351278874323,0.6988969955211553
08031,-0.0310065315423136,-0.16682736807352497,0.4402514561779721,0.3603599425028546
08032,-0.648133377613281,-0.23236548198709797,0.4072567875512461,0.639010300776691
08033,-3.0114644879430523,0.484775934396538,0.49418034897071667,1.2407101157324458
08034,-0.8865730982402785,0.5521276831468716,0.4163958237712389,0.1947400391796883
08035,-1.6009909865255307,0.8535872787595952,0.468273829820179,1.15253387170097
08036,-0.718920487847892,-0.7423755370840501,0.4053470906730293,0.4864343695159489
08037,-0.5279207614886295,-0.4698071817471027,0.41952369977037374,0.20388775926890912
08038,-1.5577375586166193,-0.03916934063303147,0.4105926452783873,0.6012669565798514
08039,-1.1191566083852087,-0.9760980430385905,0.4058832595287134,0.3733595357085403
08040,0.21191035688781812,0.1384183214136193,0.42454449131261435,0.2294538201147272
08041,1.9465621724851643,1.00038887768433,0.5254879919275398,0.5885269352088249
08042,-1.6687846532986044,1.3070361190459807,0.44404431464287947,1.5213425262389355
08043,-0.10270844843024061,0.18781178896811182,0.3893809210430008,0.300056021244422
08044,-0.5648034020677332,-0.20083914805493064,0.4245055599391042,0.18266305540702774
08045,-0.7122823570742584,-0.1538912860523388,0.3942314136328189,0.1784254049646325
08046,-0.34810358824129956,0.43622437573971024,0.6239079752725839,1.343328066315355
08047,-0.523368293188122,0.655413551783842,0.48900283850600934,0.9385347680925392
08048,-1.4364910503208073,0.6475650979827045,0.4490813026605977,0.9449344603898948
08049,0.8303667266738601,0.4785546879090138,0.5125393286982817,0.9528059016520029
08050,-1.3027396531703848,-0.33584648556934976,0.39994846106148174,0.3687562572984072
08051,0.5216936018185601,0.25626858429163374,0.5152601569904979,0.9606724844471749
08052,-1.1336922573140098,0.5616134996517254,0.41092796377300994,0.5620077461434205
08053,-0.5908780669671423,0.6900804319970114,0.40191989080394674,1.3618426655902982
08054,-5.105926807264495,1.236915378259898,0.6196771262117444,3.004477294669162
08055,-0.8971014457749074,0.034925236190565485,0.40517910831403076,0.18924477110227558
08056,-2.1867821488543244,0.7482566327968122,0.44067794320736686,1.4314695198175869
08057,0.147442219243111,0.8073415666253764,0.4466721175433253,0.8314726654070757
08058,-2.2555034145843704,-1.046802440348962,0.4344073248538114,0.8769805023485777
08059,-0.3477410357539203,-0.6196796280177754,0.41668677720634323,0.873451720065598
08060,-0.4553746905644183,-1.3717294642404183,0.4142431939725885,0.5694458265223756
08061,-1.176092939565127,0.7549153622344713,0.45404437506055506,0.575840258768258
08062,-0.9404562917364861,-0.28755498823964976,0.39756580494486093,0.24282217409885995
08063,0.743751413366674,0.40815369024328474,0.45523772785928074,0.6762240126383031
08064,-0.9257308562118499,0.6829725284780853,0.43541540973544096,0.8963572248133389
08065,1.181834484046055,1.1530593541746121,0.6780540024806301,1.7540460502343607
08066,1.267704675566637,1.1204080226812572,0.5900870799194327,1.0098654577840231
08067,-2.009101440402736,0.5068870168075228,0.4466805704619091,0.8194976799148506
09002,-0.5980569566557133,-0.8526210620648818,0.43965513656958183,0.8882179251183959
09003,-0.3066276241728993,-0.9735541309760477,0.472619570114624,1.3062695427888071
09004,-0.09682712164041274,-0.16159617699720363,0.38981137734793525,0.5235159450216424
09005,-0.339220477180816,-0.670698437351722,0.5148739736020244,1.077606137109324
09006,-0.595356670364907,-1.0792952795010824,0.4939019634599455,1.0111855004193007
09007,-0.7313749865039235,0.11468215254918222,0.47488001992620543,0.5509736060631507
09008,0.33065838586164337,0.32185488343521207,0.40688472146660204,0.5278713532015966
09009,-0.27897409554738894,-0.8309524801510451,0.3863635274272868,0.40792822623177155
09010,0.3215409291120497,-0.11798552600204645,0.4298020958986915,0.9494453496483775
09011,-0.3661157385527536,-0.3983172149334678,0.41838005684603546,0.6123335230330681
09012,0.03372815247234843,-0.3603638071495277,0.40432109421964196,0.6269546748595564
09013,0.33515370540350614,-0.3783000788366045,0.4189078236344897,0.5840220678279272
09014,-1.9364244346015518,-2.0652748169404225,0.44135590135884456,0.917328192771445
09015,-0.9255289448467681,-0.8273050001540756,0.4271320894706342,0.7167755854153554
09016,-0.8033940384709739,-1.4872867853961353,0.4398561368897247,0.8933041097640434
