cvegeo,m_educacion,m_lineas_sae,m_viv_servicios,m_educacion_sd,m_lineas_sae_sd,m_viv_servicios_sd,lisa,loc_peq_pct,pct_60mas,log_pob
05012,-0.0005800996983993371,-0.7807673280960568,-0.003656080631108013,0.014133109269545452,0.25583266416944983,0.13485270375311886,ns,100.0,17.40718198417529,3.215637563435062
05013,-0.0019298377955899774,-0.8274778168986985,0.00025496399736584907,0.01436354635261157,0.29209056090594,0.13488970429025077,ns,100.0,11.585014409221902,3.2392994791268923
05014,-0.0007180045632415566,-1.0045356898208067,-0.030950828869551025,0.014146681359192581,0.2586987546169817,0.13573145232584147,ns,100.0,12.239528520311513,3.977815026083187
05015,0.000840753246313746,-0.5393008576144341,0.01015213676429559,0.014158078122071085,0.2612600435183203,0.13503986116996222,ns,100.0,14.204545454545455,3.1997551772534747
05016,0.0012788953832001406,-0.6018353663715953,0.012161770578441809,0.014224693353549882,0.2566732071762536,0.1350365513094071,ns,100.0,19.444444444444446,3.246498580795801
05017,-0.0003482407310426609,-0.3398992885677887,-0.010808805975301341,0.01411769072623241,0.2535702550639219,0.13505332157641609,ns,41.7130736794071,10.984730050618149,5.073120555139062
05018,-0.00024315338318883778,0.06607505452658471,0.012370774874214587,0.014113156628992327,0.25714191332419833,0.1349735969691358,ns,0.328639089560456,12.976200982555234,5.3764875342811065
05019,-0.0004329798716180788,-0.6851949948052417,-0.025805381312005698,0.014126180486381977,0.31321006621077796,0.13544528461342342,ns,15.2371342078708,12.82795156407669,3.899163641477219
05020,0.00013423501995723928,-0.11829860115732059,-0.0070444586486027,0.014110358631125334,0.2540881556063439,0.13487306882255423,ns,10.1847068842755,13.091432001898726,4.855076761702667
05021,0.0010380645403127602,-0.3011526080596667,-0.0037701895860772277,0.014184470868676382,0.2564538937116936,0.13489146782062153,ns,100.0,14.100015292858235,3.8155113373627643
05022,-0.0002518071011067662,-0.3338839896572107,-0.015026656060216224,0.014113474578101646,0.2565739620818691,0.13509481293481315,ns,2.76494913821727,9.683358990612454,4.520208326885991
05023,-0.0015626084187768817,-0.26061188585479617,0.03223594917630128,0.01429299227135732,0.30092881466582855,0.13617952875442688,ns,100.0,12.310723916199958,3.9841671271469883
05024,0.0004659114179532696,-0.4745646513610718,0.037987710465907015,0.01412196816476851,0.2695100218593932,0.13609361759055086,ns,21.7530131318582,13.38370210469509,4.648086661030503
05025,-0.001390040846041725,-0.3225365460316904,0.04889816589579421,0.014240619643031778,0.26179162974914133,0.13704160186587927,ns,1.34295938795533,9.663863163327227,5.246318818556837
05026,0.0005185402922544058,-0.40219361915065294,-0.017410610452716874,0.014128613012282971,0.2693541136349975,0.13519405030941353,ns,100.0,15.405989502933004,3.510410948010177
05027,-0.0014053456339619404,-0.6205310455116876,-0.041729247405520455,0.014264612639685774,0.3689383678424981,0.13669254241574239,ns,6.7349459682763,6.071513297284916,5.08722399950598
05028,-0.0003135195662928986,0.0911292901226833,0.015786709918860803,0.01411559499638446,0.25424314191699793,0.1350567825650568,ns,8.6636527749919,12.571939948465538,4.811648722442681
05029,-0.00014536414208034793,-0.7550004363374928,0.030782880068962255,0.014111066025412965,0.2566325925738841,0.1357340227231372,ns,100.0,13.273978146499394,3.3928727454020793
05030,-0.0003605783308815214,-0.21359795217160563,-0.03086534733441905,0.014120872748866836,0.29192900647683456,0.13585576101545185,ns,1.76451603371979,10.165598812670606,5.944461943964333
05031,0.0005652361734830953,0.049044413614116246,0.03533686716037713,0.014131367454655474,0.25739764211674265,0.13607413242341476,ns,5.43640696312452,13.756613756613756,4.393733099829008
05032,0.0006468346982912035,0.3289220814820497,0.010049985371994665,0.014140139552180617,0.2571514712126446,0.13491701570167758,ns,7.5769048745859,16.39138665404638,4.625929492716295
05033,-0.0007486216579847284,-0.06884878548742958,-0.010071073192424156,0.014147187253580338,0.2585661267241834,0.1349258889626985,ns,43.1300165279441,12.610722380023951,5.004497635769096
05034,0.0005717385434511277,-0.0014180589522739904,-0.04410373093194369,0.014130286370687991,0.3323901986035664,0.1368260060646789,ns,100.0,8.348161328588374,3.8289175616166857
05035,-0.0007308805818622782,0.37159970950999216,0.0005652805695135688,0.01414579393979142,0.25699050162160764,0.13486789630145757,ns,4.25263023550041,12.144446540740905,5.857843697839295
05036,-0.0005646448787090391,0.07641797872181046,0.03755571053579548,0.014131287698715692,0.2628384594302006,0.13605622341767884,ns,100.0,12.652056143806945,4.307602993826055
05037,-0.000221672275990836,-1.075520437205686,-0.025501968809063136,0.014114819705985012,0.3176293631613219,0.1354286888575824,ns,12.0394311570782,12.685843568196509,3.79155030502733
