outcome,factor,modelo,estimador,r2cv_media,r2cv_sd,mae,moran_resid,mae_AA,mae_BB,mae_ns,r2_norte,r2_centro,r2_sur-sureste
indicadores,car_servbas,M4_vistaD+lentes,ridge,0.4774,0.2468,0.4717,0.477,0.3729,0.3873,0.4862,0.1333,0.6022,0.1416
indicadores,car_servbas,M4_vistaD+lentes,hgb,0.5437,0.2648,0.4528,0.4464,0.3852,0.3832,0.4638,0.3878,0.5775,0.255
indicadores,car_vivienda,M0_vistaD,ridge,0.3988,0.1699,0.5532,0.4962,0.63,0.4953,0.5537,0.1965,0.3272,0.1875
indicadores,car_vivienda,M0_vistaD,hgb,0.296,0.2304,0.595,0.4534,0.6876,0.5346,0.5947,0.1757,0.1973,0.0353
indicadores,car_vivienda,M1_ntl,ridge,-0.3308,0.5436,0.7508,0.566,0.7896,0.4518,0.7766,-0.9303,-0.2409,-0.8033
indicadores,car_vivienda,M1_ntl,hgb,0.14,0.2439,0.6522,0.4457,0.7437,0.4869,0.6619,-0.0489,-0.1162,-0.1242
indicadores,car_vivienda,M2_geografia,ridge,-0.0456,0.4266,0.7155,0.627,0.7828,0.4477,0.7366,-0.7663,-0.0246,-0.3077
indicadores,car_vivienda,M2_geografia,hgb,-0.0872,0.5219,0.7269,0.5331,0.7965,0.5487,0.7393,-0.3643,-0.256,-0.418
indicadores,car_vivienda,M3_lentes,ridge,-0.0945,0.427,0.6924,0.538,0.7678,0.4697,0.7086,-0.5242,-0.0745,-0.4715
indicadores,car_vivienda,M3_lentes,hgb,0.1507,0.3307,0.6426,0.4421,0.7248,0.5339,0.6475,0.0967,-0.0554,-0.1478
indicadores,car_vivienda,M4_vistaD+lentes,ridge,0.4223,0.238,0.5185,0.4201,0.6059,0.4035,0.5237,0.2318,0.4721,0.1959
indicadores,car_vivienda,M4_vistaD+lentes,hgb,0.3789,0.3647,0.5422,0.4325,0.6163,0.4309,0.5479,0.3833,0.4179,0.0834
indicadores,lp_ingreso,M0_vistaD,ridge,0.4979,0.1409,0.4969,0.4366,0.5081,0.4667,0.499,-0.0782,0.1517,0.4235
indicadores,lp_ingreso,M0_vistaD,hgb,0.5103,0.1598,0.4895,0.4,0.4256,0.4483,0.4975,0.0131,0.2973,0.3845
indicadores,lp_ingreso,M1_ntl,ridge,-0.3709,0.4846,0.7764,0.5519,0.6967,0.6551,0.7931,-1.6596,-1.0481,-0.7061
indicadores,lp_ingreso,M1_ntl,hgb,0.13,0.2176,0.6572,0.5212,0.6183,0.671,0.6584,0.0076,-0.9087,-0.0005
indicadores,lp_ingreso,M2_geografia,ridge,-0.2002,0.2364,0.78,0.6799,0.7269,0.5802,0.8025,-1.7299,-0.9652,-0.2975
